Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
1000MERCIS;FR0010285965;ALMIL;"Euronext Growth Paris";EUR;22.40;22.50;22.40;22.50;"10/01/22 14:16";CET;4;89.90
"2020 BULKERS";BMG9156K1018;2020;"Oslo B�rs";NOK;116.00;116.50;110.00;110.00;"10/01/22 16:28";CET;218084;24739472.00
2CRSI;FR0013341781;2CRSI;"Euronext Paris";EUR;4.88;4.93;4.80;4.81;"10/01/22 17:35";CET;12665;61404.37
"2MX ORGANIC";FR0014000T90;2MX;"Euronext Paris";EUR;9.80;9.80;9.80;9.80;"10/01/22 14:36";CET;450;4410.00
"2MX ORGANIC BS";FR0014000TB2;2MXBS;"Euronext Paris";EUR;0.18;0.18;0.18;0.18;"16/12/21 17:04";CET;58571;10542.78
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;1.29;1.48;1.29;1.444;"10/01/22 16:29";CET;12968330;18257794.93
"A TOUTE VITESSE";FR0010050773;MLATV;"Euronext Access Paris";EUR;1.48;1.48;1.35;1.35;"13/11/19 16:53";CET;378;521.87
"A.S.T. GROUPE";FR0000076887;ASP;"Euronext Paris";EUR;4.80;5.04;4.80;4.99;"10/01/22 17:36";CET;33065;163241.00
"AALBERTS NV";NL0000852564;AALB;"Euronext Amsterdam";EUR;57.96;57.96;55.22;55.56;"10/01/22 17:35";CET;156718;8839926.24
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;143.00;143.00;143.00;143.00;"10/01/22 09:00";CET;41;5863.00
"AB INBEV";BE0974293251;ABI;"Euronext Brussels";EUR;55.62;57.00;55.51;56.73;"10/01/22 17:37";CET;1865750;105583444.81
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;12.40;12.41;12.22;12.31;"10/01/22 17:35";CET;27911;343050.76
ABATTOIR;BE0946377455;-;"Euronext Expert Market";EUR;47.70;47.70;47.70;47.70;"24/01/17 11:30";CET;500;23850.00
